ema,lorentzian_k,lorentzian_horizon,andean_length,min_atr_pct,risk,rr,exit_mode,m15_adx_min,require_ema50_slope,session,profit_pct,final_balance,total_trades,trades_per_day,winrate,profit_factor,max_drawdown_pct,avg_win,avg_loss,expectancy,negative_months,signal_candidates,passes_robust_filter
50/200,8,8,50,0.002,0.005,1.5,be_1_2,25,True,all,-2.675054358068826,973.2494564193117,278,0.7595628415300546,40.28776978417266,0.9609600478552438,-7.737544301956413,5.879097251482663,-4.127767685221365,-0.09622497690895097,7,2848,False
50/200,8,8,50,0.002,0.005,2.0,be_1_2,25,True,14_20,-1.7960409813238014,982.039590186762,180,0.4918032786885246,29.444444444444446,0.9609394180250971,-5.672941174624023,8.336767145173654,-3.6205438465152944,-0.09978005451799277,6,1354,False
50/200,8,8,50,0.002,0.005,2.5,fixed,20,True,14_20,-2.444763477924141,975.5523652207586,178,0.48633879781420764,30.89887640449438,0.9594573813192314,-11.400037085942191,10.519329314546603,-4.902526399018738,-0.1373462628047283,8,1512,False
50/200,8,8,50,0.002,0.005,2.0,be_1_no_lock,25,False,14_20,-1.9635900181448507,980.3640998185515,201,0.5491803278688525,26.368159203980102,0.9570759784442191,-5.412279130221032,8.260778128791795,-3.0909266284284675,-0.0976910456788463,8,1509,False
50/200,8,8,50,0.002,0.005,2.0,partial_1r,18,False,14_20,-2.376120284047363,976.2387971595264,353,0.9644808743169399,53.25779036827195,0.956210145846211,-7.834369878055511,2.759881410188081,-3.288599442156566,-0.06731218934978526,7,1783,False
50/200,8,8,50,0.002,0.005,1.5,be_1_2,18,True,14_20,-2.4917986031035526,975.0820139689645,219,0.5983606557377049,39.726027397260275,0.9556444671467152,-6.467126644664047,6.170810846940096,-4.255897952385032,-0.11378075813258387,5,1582,False
50/200,8,8,50,0.002,0.005,2.0,be_1_2,25,False,all,-3.152322344692345,968.4767765530765,277,0.7568306010928961,29.602888086642597,0.9551794369551979,-9.582165068033541,8.192650431277276,-3.6067720964700514,-0.11380225071091499,7,3133,False
50/200,8,8,50,0.002,0.005,2.5,partial_1r,20,True,all,-2.674101758920392,973.2589824107961,397,1.0846994535519126,49.87405541561713,0.9548175030293202,-7.065412771324434,2.8540585800311096,-2.9740935499264505,-0.0673577269249469,7,3134,False
50/200,8,8,50,0.002,0.005,2.5,be_1_2,18,True,all,-3.1257303250294055,968.7426967497059,260,0.7103825136612022,23.846153846153847,0.9534788993195478,-8.367661934180417,10.332868957230364,-3.393409992922108,-0.12022039711651866,5,3266,False
50/200,8,8,50,0.002,0.005,2.0,partial_1r,20,True,all,-3.0212397382085783,969.7876026179142,422,1.1530054644808743,53.08056872037915,0.9529376221668172,-6.598032690634257,2.7310382144855714,-3.242247259731584,-0.0715933587253215,6,3134,False
50/200,8,8,50,0.002,0.005,1.5,fixed,18,True,14_20,-2.926989178288443,970.7301082171156,219,0.5983606557377049,43.37899543378995,0.9519834998624598,-7.59114825209736,6.1085260582573255,-4.915966671913954,-0.13365247389444893,6,1582,False
50/200,8,8,50,0.002,0.005,2.0,be_1_2,18,False,14_20,-2.840492219321379,971.5950778067862,222,0.6065573770491803,29.27927927927928,0.9510019320726013,-7.828523840500466,8.481695779435046,-3.6924531710604613,-0.12795009996943404,7,1783,False
50/200,8,8,50,0.002,0.005,2.0,be_1_2,20,True,14_20,-2.4854825621326313,975.1451743786737,194,0.5300546448087432,29.381443298969074,0.9507145973011288,-7.613493774095509,8.411388988118976,-3.6810510798839977,-0.12811765784188675,7,1512,False
50/200,8,8,50,0.002,0.005,2.0,fixed,18,True,14_20,-3.1286345385317986,968.713654614682,198,0.5409836065573771,35.858585858585855,0.9498338738225071,-8.37798995034042,8.343217669876719,-4.91066771611469,-0.15801184538039675,7,1582,False
50/200,8,8,50,0.002,0.005,2.5,be_1_no_lock,20,False,14_20,-2.3976076186579918,976.0239238134201,207,0.5655737704918032,20.28985507246377,0.9494528703866688,-6.602835998337799,10.722738942606894,-2.874734010764061,-0.11582645500763519,8,1694,False
50/200,8,8,50,0.002,0.005,1.5,fixed,20,True,all,-4.216009188314137,957.8399081168586,301,0.8224043715846995,43.521594684385384,0.9490395623147274,-8.343987477045447,5.993512573739787,-4.8665308179003155,-0.14006675044233052,7,3134,False
50/200,8,8,50,0.002,0.005,2.5,partial_1r,25,True,all,-2.8956689691290305,971.0433103087097,379,1.03551912568306,49.86807387862797,0.9486209813329044,-7.335831404574063,2.828746495573597,-2.966261986077375,-0.07640287517491147,7,2848,False
50/200,8,8,50,0.002,0.005,2.0,fixed,18,False,14_20,-3.707390909113633,962.9260909088637,222,0.6065573770491803,36.03603603603604,0.9481555353507306,-9.284810745971896,8.475309842539376,-5.035906313340048,-0.16699959050061564,7,1783,False
50/200,8,8,50,0.002,0.005,2.0,be_1_no_lock,18,False,14_20,-2.8330799586968736,971.6692004130313,227,0.6202185792349727,26.87224669603524,0.9477032439064378,-7.644232037703119,8.416404756555403,-3.2634427092581304,-0.12480528452409737,7,1783,False
50/200,8,8,50,0.002,0.005,2.5,be_1_no_lock,25,True,all,-2.9757014713342187,970.2429852866578,243,0.6639344262295082,21.810699588477366,0.9475092806865445,-11.391632872071906,10.134782629534328,-2.9836868109403247,-0.12245685067219053,7,2848,False
50/200,8,8,50,0.002,0.005,2.5,be_1_2,18,True,14_20,-2.670891304690315,973.2910869530969,190,0.5191256830601093,23.157894736842106,0.9465572613499814,-7.79372626984543,10.751318405936978,-3.4230611158091113,-0.14057322656264845,6,1582,False
50/200,8,8,50,0.002,0.005,2.0,be_1_no_lock,20,True,all,-3.631649996673514,963.6835000332649,275,0.7513661202185792,27.27272727272727,0.9432467392057193,-9.220598026556855,8.047800765059314,-3.199507786730914,-0.13205999987903355,6,3134,False
50/200,8,8,50,0.002,0.005,2.0,be_1_2,20,True,all,-3.9737371120730245,960.2626288792698,273,0.7459016393442623,29.304029304029307,0.9423131293033172,-8.355246795706842,8.113858075251487,-3.5691503478800413,-0.14555813597336628,6,3134,False
