ema,lorentzian_k,lorentzian_horizon,andean_length,min_atr_pct,risk,rr,exit_mode,m15_adx_min,require_m15_adx_rising,require_ema50_slope,use_h1_bias,session,min_hold_minutes,partial_pct,trail_type,profit_pct,final_balance,total_trades,trades_per_day,winrate,profit_factor,max_drawdown_pct,avg_win,avg_loss,expectancy,negative_months,signal_candidates,passes_robust_filter
50/200,8,8,50,0.002,0.005,0.0,partial_trailing,20,True,False,True,14_20,15,0.3,ema20,-14.434820181574217,855.6517981842578,228,0.6229508196721312,47.80701754385965,0.6904140537946419,-15.26761903779525,2.9533387646022318,-3.918169135776348,-0.6331061483146585,9,990,False
50/200,8,8,50,0.002,0.005,0.0,partial_trailing,20,True,False,True,all,25,0.5,ema20,-19.775657198046677,802.2434280195332,355,0.9699453551912568,51.267605633802816,0.688615028582213,-21.325630748740178,2.402914874408571,-3.6710235787446663,-0.5570607661421617,11,2078,False
50/200,8,8,50,0.002,0.005,0.0,partial_trailing,20,True,False,False,all,15,0.3,prev_candle,-18.523791700091603,814.762082999084,386,1.0546448087431695,52.331606217616574,0.6875784075183351,-19.68067298581507,2.018179113623856,-3.222337488874645,-0.4798909766863103,9,2128,False
50/200,8,8,50,0.002,0.005,0.0,trailing_only,20,True,False,True,14_20,15,0.0,prev_candle,-14.33537435599451,856.6462564400549,188,0.5136612021857924,34.57446808510639,0.6858050902897153,-15.509965851317917,4.813901964237128,-3.7094095222386887,-0.7625199125529012,8,990,False
50/200,8,8,50,0.002,0.005,0.0,partial_trailing,20,True,False,False,14_20,25,0.3,ema20,-15.50151690560366,844.9848309439634,230,0.6284153005464481,47.391304347826086,0.6807779306686169,-15.956335530441104,3.0329151480071714,-4.01324727428776,-0.6739789958958142,10,1009,False
50/200,8,8,50,0.002,0.005,0.0,partial_trailing,20,True,False,True,14_20,25,0.3,ema20,-15.732477969536616,842.6752203046339,223,0.6092896174863388,47.08520179372198,0.6692021069830459,-16.552646829258208,3.0311148913482473,-4.03043934988926,-0.7054922856294471,9,990,False
50/200,8,8,50,0.002,0.005,0.0,trailing_only,20,True,False,False,14_20,25,0.0,prev_candle,-16.70136509079039,832.9863490920961,189,0.5163934426229508,32.804232804232804,0.6671591451831881,-18.16483173219513,5.399494400475653,-3.9510417617117626,-0.8836701106238273,9,1009,False
50/200,8,8,50,0.002,0.005,0.0,trailing_only,20,True,False,True,14_20,25,0.0,prev_candle,-16.8643892795567,831.356107204433,183,0.5,32.78688524590164,0.6540058326546123,-18.379106114109636,5.312906976443301,-3.962750499041994,-0.9215513267517332,8,990,False
50/200,8,8,50,0.002,0.005,0.0,partial_trailing,20,True,False,True,all,15,0.3,prev_candle,-19.921643429873892,800.7835657012611,375,1.0245901639344261,52.0,0.6538879295138885,-21.058676608522358,1.930088070203504,-3.1976867110467917,-0.5312438247966379,10,2078,False
50/200,8,8,50,0.002,0.005,0.0,partial_trailing,20,True,False,True,all,25,0.3,prev_candle,-21.47797485915854,785.2202514084146,360,0.9836065573770492,51.11111111111111,0.6520679380457334,-22.394887984762345,2.18763016130369,-3.5074073765424076,-0.5966104127544024,11,2078,False
50/200,8,8,50,0.002,0.005,0.0,partial_trailing,20,True,False,False,14_20,15,0.5,ema20,-16.903503365668733,830.9649663433127,235,0.6420765027322405,48.08510638297872,0.6277551379374807,-17.15020736690071,2.5226665279102547,-3.722101240250381,-0.7192980155603731,10,1009,False
50/200,8,8,50,0.002,0.005,0.0,partial_trailing,20,True,False,True,14_20,15,0.5,ema20,-17.20330864273078,827.9669135726922,228,0.6229508196721312,47.80701754385965,0.6155246577272808,-17.703874787839297,2.5267509996319584,-3.760075171320932,-0.754531080821524,10,990,False
50/200,8,8,50,0.002,0.005,0.0,partial_trailing,20,True,False,False,all,15,0.5,prev_candle,-22.7953958477588,772.046041522412,386,1.0546448087431695,52.331606217616574,0.6064956955641753,-23.71249221662851,1.7392980272337701,-3.1483269564065735,-0.590554296574062,10,2128,False
50/200,8,8,50,0.002,0.005,0.0,partial_trailing,20,True,False,False,all,25,0.5,prev_candle,-24.41750064732213,755.8249935267787,376,1.0273224043715847,52.659574468085104,0.6019976262686251,-24.92862487626316,1.8652847267828916,-3.4466369796417604,-0.6494016129606935,11,2128,False
50/200,8,8,50,0.002,0.005,0.0,partial_trailing,20,True,False,False,14_20,15,0.3,prev_candle,-18.2807493353258,817.192506646742,257,0.7021857923497268,50.583657587548636,0.5971703732686044,-18.703150588373596,2.084622835710738,-3.573294976343732,-0.7113132037091751,10,1009,False
