ema,lorentzian_k,lorentzian_horizon,andean_length,min_atr_pct,risk,profit_pct,final_balance,total_trades,trades_per_day,winrate,profit_factor,max_drawdown_pct,avg_win,avg_loss,expectancy,passes_robust_filter
50/200,8,4,20,0.002,0.005,-3.999286089714201,960.007139102858,329,0.8989071038251366,37.08206686930091,0.9460071599261506,-9.017638392400068,5.743556438114616,-3.578293460614129,-0.1215588477116768,False
50/200,8,12,20,0.002,0.01,-4.353916012998695,956.460839870013,344,0.9398907103825137,38.372093023255815,0.9709075765141986,-16.07173530481737,11.007890616289345,-7.059343025849911,-0.1265673259592667,False
20/50,8,12,20,0.002,0.005,-6.098295523356626,939.0170447664337,345,0.9426229508196722,37.68115942028986,0.9199944987243163,-8.215047926243287,5.394242841598601,-3.5452768587971377,-0.17676218908280142,False
20/50,8,8,20,0.002,0.01,-6.618696300430712,933.8130369956929,348,0.9508196721311475,35.91954022988506,0.9587355933427991,-17.668248795365756,12.302282259796804,-7.192700652371775,-0.19019242242616435,False
50/200,16,12,50,0.002,0.005,-5.729094426187692,942.7090557381231,294,0.8032786885245902,34.35374149659864,0.915272733460849,-11.167442015032895,6.127621561804167,-3.5035270570160497,-0.19486715735332208,False
50/200,8,8,20,0.002,0.01,-7.282388839341173,927.1761116065883,332,0.907103825136612,37.04819277108434,0.9528926399182263,-16.390408661664882,11.976335629560344,-7.396713736025533,-0.21934906142594612,False
20/50,16,4,20,0.002,0.005,-7.09146218078705,929.0853781921295,318,0.8688524590163934,37.10691823899371,0.9032028617970955,-8.669608983467576,5.607594113331664,-3.663053635905033,-0.22300195537066125,False
20/50,8,8,50,0.002,0.01,-8.157488288233845,918.4251171176616,345,0.9426229508196722,37.391304347826086,0.947609272899394,-16.39444007087527,11.437776994175302,-7.208556088569225,-0.23644893589083674,False
50/200,16,8,50,0.002,0.01,-7.410682494854267,925.8931750514573,297,0.8114754098360656,38.04713804713805,0.9480372740865832,-15.216538465086051,11.965015081917382,-7.750834397854383,-0.2495179291196708,False
50/200,16,4,20,0.002,0.005,-7.676965037572825,923.2303496242718,303,0.8278688524590164,37.95379537953795,0.8849684865270319,-8.137386682267822,5.135736041069512,-3.5498898675463963,-0.25336518275818054,False
50/200,16,8,20,0.002,0.005,-7.938757873916631,920.6124212608337,311,0.8497267759562842,36.33440514469453,0.8902116812737455,-9.43721294600364,5.696541522392232,-3.652003892775193,-0.2552655264924951,False
50/200,8,4,20,0.002,0.01,-8.68806285703191,913.1193714296809,329,0.8989071038251366,37.08206686930091,0.93985747247591,-17.419759187811916,11.12867467167237,-6.978642215045164,-0.26407485887635235,False
20/50,8,12,50,0.002,0.005,-10.93097897392288,890.6902102607712,337,0.9207650273224044,34.42136498516321,0.8556170512603444,-12.027544774443372,5.584246663365322,-3.4257122293647333,-0.32436139388495155,False
20/50,8,12,50,0.001,0.005,-16.237367664843713,837.6263233515629,465,1.2704918032786885,38.064516129032256,0.8434598694054452,-19.32191585990153,4.942891650756364,-3.6016163153899745,-0.3491907024697556,False
20/50,16,8,50,0.002,0.005,-11.401763105261137,885.9823689473886,319,0.8715846994535519,36.36363636363637,0.8487499286600946,-12.680873577548777,5.515668884432633,-3.713473998260083,-0.35742204091727736,False
20/50,8,12,20,0.002,0.01,-12.63444604961386,873.6555395038614,345,0.9426229508196722,37.68115942028986,0.9148428499301424,-16.14024528720754,10.440907122741201,-6.9007552858255545,-0.3662158275250378,False
20/50,16,12,20,0.002,0.005,-11.392655660360617,886.0734433963938,304,0.8306010928961749,34.868421052631575,0.8388944015931605,-14.150770413941865,5.596490483814585,-3.5714876155957205,-0.37475840988028497,False
20/50,16,8,20,0.002,0.005,-13.042298826035756,869.5770117396424,326,0.8907103825136612,35.58282208588957,0.8289499601262343,-13.144216901279771,5.448805335972512,-3.6308781296817605,-0.4000705161360682,False
50/200,16,4,50,0.002,0.005,-11.107737005235164,888.9226299476484,276,0.7540983606557377,35.14492753623188,0.8327584750616402,-11.107737005235164,5.702020792473094,-3.7104658487276034,-0.4024542393201117,False
