symbol,variant,strategy,month,trades,pnl,wins,losses
XAUUSDm,A_sweep_lb30_wick2_rr1.5_atr40,sweep,2026-01,63,-705.5499862759104,20,43
XAUUSDm,A_sweep_lb30_wick2_rr1.5_atr40,sweep,2026-02,60,-260.5680606424275,24,36
XAUUSDm,A_sweep_lb30_wick2_rr1.5_atr40,sweep,2026-03,69,-52.71305540145771,30,39
XAUUSDm,A_sweep_lb30_wick2_rr1.5_atr40,sweep,2026-04,62,-397.8265789947712,23,39
XAUUSDm,A_sweep_lb30_wick2_rr1.5_atr40,sweep,2026-05,12,-197.75040554380547,3,9
XAUUSDm,A_sweep_lb30_wick2_rr2_atr20,sweep,2025-01,66,-675.2445224642383,24,42
XAUUSDm,A_sweep_lb30_wick2_rr2_atr20,sweep,2025-02,63,-1133.7866735899358,14,49
XAUUSDm,A_sweep_lb30_wick2_rr2_atr20,sweep,2025-03,64,-655.0112899481659,22,42
XAUUSDm,A_sweep_lb30_wick2_rr2_atr20,sweep,2025-04,67,-474.57028870273354,21,46
XAUUSDm,A_sweep_lb30_wick2_rr2_atr20,sweep,2025-05,69,-928.2511594343433,16,53
XAUUSDm,A_sweep_lb30_wick2_rr2_atr20,sweep,2025-06,62,-665.315845363888,18,44
XAUUSDm,A_sweep_lb30_wick2_rr2_atr20,sweep,2025-07,75,-1183.3725377962896,20,55
XAUUSDm,A_sweep_lb30_wick2_rr2_atr20,sweep,2025-08,64,-1227.1417453048075,16,48
XAUUSDm,A_sweep_lb30_wick2_rr2_atr20,sweep,2025-09,67,-977.2650861808679,18,49
XAUUSDm,A_sweep_lb30_wick2_rr2_atr20,sweep,2025-10,71,-80.93602954826184,28,43
XAUUSDm,A_sweep_lb30_wick2_rr2_atr20,sweep,2025-11,61,-95.25621165188593,24,37
XAUUSDm,A_sweep_lb30_wick2_rr2_atr20,sweep,2025-12,65,-698.3299875668989,19,46
XAUUSDm,A_sweep_lb30_wick2_rr2_atr20,sweep,2026-01,66,-1070.8776676447515,14,52
XAUUSDm,A_sweep_lb30_wick2_rr2_atr20,sweep,2026-02,63,-350.28726668202444,20,43
XAUUSDm,A_sweep_lb30_wick2_rr2_atr20,sweep,2026-03,71,-745.4900990385456,17,54
